"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"43","Michael Pittman Jr.",IND,"4 out of 5 stars","4 out of 5 stars","187.0","+3"
"44","Khalil Shakir",BUF,"3 out of 5 stars","3 out of 5 stars","185.3","+1"
"45","Jauan Jennings",SF,"4 out of 5 stars","4 out of 5 stars","183.6","+2"
"46","Jordan Addison",MIN,"2 out of 5 stars","3 out of 5 stars","178.5","-3"
"47","Keon Coleman",BUF,"3 out of 5 stars","3 out of 5 stars","178.5","+1"
"48","Jayden Reed",GB,"2 out of 5 stars","3 out of 5 stars","175.1","+2"
"49","Josh Downs",IND,"4 out of 5 stars","4 out of 5 stars","175.1","0"
"50","Darnell Mooney",ATL,"3 out of 5 stars","3 out of 5 stars","173.4","+1"
"51","Cedric Tillman",CLE,"2 out of 5 stars","3 out of 5 stars","171.7","+13"
"52","Chris Godwin Jr.",TB,"3 out of 5 stars","4 out of 5 stars","168.3","-8"
"53","Marvin Mims Jr.",DEN,"3 out of 5 stars","4 out of 5 stars","166.6","+3"
"54","Cooper Kupp",SEA,"3 out of 5 stars","4 out of 5 stars","166.6","-12"
"55","Christian Kirk",HOU,"4 out of 5 stars","3 out of 5 stars","154.7","-1"
"56","Jayden Higgins",HOU,"4 out of 5 stars","3 out of 5 stars","154.7","+1"
"57","DeMario Douglas",NE,"3 out of 5 stars","3 out of 5 stars","154.7","+9"
"58","Rashid Shaheed",NO,"4 out of 5 stars","3 out of 5 stars","153.0","-6"
"59","Joshua Palmer",BUF,"3 out of 5 stars","3 out of 5 stars","153.0","+12"
"60","Rashod Bateman",BAL,"3 out of 5 stars","4 out of 5 stars","149.6","+1"
"61","Marquise Brown",KC,"3 out of 5 stars","3 out of 5 stars","146.2","-3"
"62","Luther Burden III",CHI,"2 out of 5 stars","4 out of 5 stars","142.8","0"
"63","Brandon Aiyuk",SF,"4 out of 5 stars","4 out of 5 stars","141.1","-8"
"64","Wan'Dale Robinson",NYG,"2 out of 5 stars","2 out of 5 stars","141.1","-1"
"65","Romeo Doubs",GB,"2 out of 5 stars","3 out of 5 stars","132.6","0"
"66","Adam Thielen",MIN,"2 out of 5 stars","3 out of 5 stars","132.6","-7"
"67","Xavier Legette",CAR,"3 out of 5 stars","1 out of 5 stars","129.2","-7"
"68","Quentin Johnston",LAC,"3 out of 5 stars","4 out of 5 stars","125.8","+1"
"69","Jalen Coker",CAR,"3 out of 5 stars","1 out of 5 stars","125.8","+8"
"70","Isaac TeSlaa",DET,"3 out of 5 stars","2 out of 5 stars","117.3","-3"
"71","Elic Ayomanor",TEN,"4 out of 5 stars","3 out of 5 stars","115.6","+5"
"72","Tre' Harris",LAC,"3 out of 5 stars","4 out of 5 stars","113.9","-2"
"73","Dont'e Thornton Jr.",LV,"4 out of 5 stars","3 out of 5 stars","112.2","-5"
"74","Jaylin Noel",HOU,"4 out of 5 stars","3 out of 5 stars","108.8","+6"
"75","Kayshon Boutte",NE,"3 out of 5 stars","3 out of 5 stars","108.8","+14"
"76","DeAndre Hopkins",BAL,"3 out of 5 stars","4 out of 5 stars","112.2","-3"
"77","Kyle Williams",NE,"3 out of 5 stars","3 out of 5 stars","108.8","-5"
"78","Tory Horton",SEA,"3 out of 5 stars","4 out of 5 stars","105.4","+1"
"79","Michael Wilson",ARI,"4 out of 5 stars","4 out of 5 stars","105.4","+2"
"80","Darius Slayton",NYG,"2 out of 5 stars","2 out of 5 stars","102.0","+2"
